column_name,category,data_type,nullable,example_values,constraints,description
salary_avg,numeric,float,Yes,"176.47, 382.35, 691.18",Dalam USD; null jika no-salary; = (salary_min_usd + salary_max_usd) / 2,Rata-rata gaji bulanan dalam USD (digunakan sebagai salary representatif)
salary_avg_usd,numeric,float,Yes,"176.47, 382.35, 691.18",Dalam USD; null jika no-salary; identik dengan salary_avg,Rata-rata gaji bulanan dalam USD (alias eksplisit dari salary_avg)
salary_avg_jt,numeric,float,Yes,"3.0, 6.5, 11.75",Dalam juta IDR; null jika no-salary; = (salary_min_jt + salary_max_jt) / 2,Rata-rata gaji bulanan dalam satuan Juta Rupiah
salary_range_width_usd,numeric,float,Yes,"58.82, 176.47, 382.35",Dalam USD; null jika no-salary; = salary_max_usd - salary_min_usd; >= 0,Selisih gaji max dan min (USD) — indikator ruang negosiasi gaji
salary_range_width_jt,numeric,float,Yes,"1.0, 3.0, 6.5",Dalam juta IDR; null jika no-salary; = salary_max_jt - salary_min_jt; >= 0,Selisih gaji max dan min (Juta IDR) — indikator ruang negosiasi gaji
salary_tier,categorical,string,Yes,"< $120, $120-300, $300-600, $600-1200, > $1200",Nullable (null jika no-salary); bins: [0;120;300;600;1200;inf] USD/bulan,Label tier/bucket gaji berdasarkan salary_avg_usd untuk segmentasi pasar
has_salary,boolean,bool,No,"True, False",Tidak nullable; True jika setidaknya salary_min_usd atau salary_max_usd tidak null,Flag boolean — True jika posting memiliki data salary yang valid
experience_level,categorical,string,No,"Entry Level (0 thn), Junior (1-3 thn), Mid Level (4-6 thn), Senior (>6 thn)","Nilai enum: {Entry Level (0 thn); Junior (1-3 thn); Mid Level (4-6 thn); Senior (>6 thn)}; derived dari kolom Experience","Label kategorik level karir, di-derive dari Experience: 0→Entry Level; 1-3→Junior; 4-6→Mid Level; >6→Senior"
Education_Label,categorical,string,No,"SMA/SMK, Diploma, S1, S2, S3, SD, SMP, Profesional",Nilai enum human-readable; derived dari Education,Label pendidikan dalam Bahasa Indonesia (versi human-readable dari kolom Education)
Job_Type_Label,categorical,string,No,"Full Time, Kontrak, Magang, Part Time, Project Based",Nilai enum human-readable; derived dari Job_Type,Label tipe pekerjaan dalam Bahasa Indonesia (versi human-readable dari Job_Type)
Work_Arr_Label,categorical,string,No,"Onsite, Hybrid, Remote",Nilai enum human-readable; derived dari Work Arrangement,Label skema kerja dalam Bahasa Indonesia (versi human-readable dari Work Arrangement)
skill_count,integer,int,No,"3, 5, 8, 12",Integer >= 0; dihitung dari split koma pada kolom Skills mentah,Jumlah skill yang tercantum per posting (dihitung dari kolom Skills mentah sebelum normalisasi)
education_rank,integer,int,No,"1, 2, 3, 4, 5, 6, 7","Ordinal integer 1–7: SD=1; SMP=2; SMA/SMK=3; Diploma=4; S1/Profesional=5; S2=6; S3=7",Nilai ordinal numerik pendidikan untuk keperluan analisis korelasi
